Timestamp
2024-02-02 17:42:41.453
2024-02-02 17:42:43.460
2024-02-02 17:42:44.680
2024-02-02 17:42:45.962
2024-02-02 17:42:47.322
2024-02-02 17:42:48.542
2024-02-02 17:42:49.820
2024-02-02 17:42:51.061
2024-02-02 17:42:52.142
2024-02-02 17:42:53.240
2024-02-02 17:42:54.502
2024-02-02 17:42:55.800
2024-02-02 17:42:56.959
2024-02-02 17:42:58.061
2024-02-02 17:42:59.220
2024-02-02 17:43:00.260
2024-02-02 17:43:01.223
2024-02-02 17:43:02.259
2024-02-02 17:43:03.480
2024-02-02 17:43:04.741
2024-02-02 17:43:05.982
2024-02-02 17:43:07.182
2024-02-02 17:43:08.223
2024-02-02 17:43:09.181
2024-02-02 17:43:10.181
2024-02-02 17:43:11.339
2024-02-02 17:43:12.581
2024-02-02 17:43:13.883
2024-02-02 17:43:15.099
2024-02-02 17:43:16.201
2024-02-02 17:43:17.242
2024-02-02 17:43:18.200
2024-02-02 17:43:19.121
2024-02-02 17:43:20.002
2024-02-02 17:43:20.924
2024-02-02 17:43:22.124
2024-02-02 17:43:23.422
2024-02-02 17:43:24.700
2024-02-02 17:43:25.982
2024-02-02 17:43:27.203
2024-02-02 17:43:28.300
2024-02-02 17:43:29.304
2024-02-02 17:43:30.283
2024-02-02 17:43:31.344
2024-02-02 17:43:32.662
2024-02-02 17:43:34.022
2024-02-02 17:43:35.321
2024-02-02 17:43:36.603
2024-02-02 17:43:37.782
2024-02-02 17:43:38.822
2024-02-02 17:43:39.842
2024-02-02 17:43:40.924
2024-02-02 17:43:42.165
2024-02-02 17:43:43.422
2024-02-02 17:43:44.684
2024-02-02 17:43:45.863
2024-02-02 17:43:47.022
2024-02-02 17:43:48.022
2024-02-02 17:43:48.984
2024-02-02 17:43:49.942
2024-02-02 17:43:51.024
2024-02-02 17:43:52.281
2024-02-02 17:43:53.543
2024-02-02 17:43:54.784
2024-02-02 17:43:55.984
2024-02-02 17:43:57.102
2024-02-02 17:43:58.183
2024-02-02 17:43:59.183
2024-02-02 17:44:00.145
2024-02-02 17:44:01.083
